"X60410","X60430","X60434","X60512","X61104","X61402","X61502","X61603","X62601","X63001","X65001","X65101","year","month","day"
8.895,10.105,9.105,7.474,6.368,8.053,7.632,8.632,7.263,7.579,7.737,8.211,2009,8,10
6.526,5.947,4.737,7,4.211,6.105,4.579,4.158,7.474,5.947,4.737,4.947,2009,8,11
5.737,7.526,5.842,6.368,3.737,7.105,6.053,6.105,6.421,7.526,4.895,5.316,2009,8,12
8.526,7.421,8.263,7.895,6.105,8.474,7.684,7.684,8.474,7.263,6.211,6.842,2009,8,13
17.158,14.158,13.526,20.684,8.737,13.526,13.474,13.632,10.895,18,13.211,11.316,2009,8,14
26.526,23.526,23.421,20,13.7,23.947,24.053,23.632,20.526,23.579,19.895,20.526,2009,8,15
36.737,35.211,33.526,30.684,10.991,29.684,33.474,33.895,30.105,35.789,32.684,34.105,2009,8,16
29.474,23.368,24.789,25.105,15.429,23.684,20.895,24.789,26.105,27.368,22,23.105,2009,8,17
9.842,8.842,8.263,7.263,13.421,6.684,7.368,7.474,7.737,8.789,10.421,9.316,2009,8,18
4.947,4.579,5.579,5.158,4.263,4.947,4,5.211,6.737,5.842,3.158,3.263,2009,8,19
10.263,10.842,10.842,10.737,9.368,10,9.211,11.684,11,11.421,9.842,9.421,2009,8,20
5,4.947,4.211,3.421,6.263,4,3.421,3.158,5.737,4.316,6.895,5.632,2009,8,21
7.684,6.842,6.842,8.053,7.158,5.579,4.789,6.263,5.158,8.842,5.053,5.579,2009,8,22
2.895,2.211,1.474,1.789,2.105,2.316,1.789,1.105,2.368,2.895,1.684,1.789,2009,8,23
4.526,4.053,2.895,2.316,2.684,2.789,2.368,1.684,2.789,3.053,2.737,3,2009,8,24
11,10.158,10.053,10,7.474,11.105,10.947,8.947,9.526,12.053,10.316,9.211,2009,8,25
6,5.737,5.316,5.316,4.421,6.526,4.421,4.737,7.421,7,3.789,3.789,2009,8,26
2.053,3.158,2.579,3.421,1.263,2.579,2.158,2.368,2.684,2.526,2.737,2,2009,8,27
1.947,3.474,2.316,4.105,1,2.421,3.316,2.632,1.789,2.474,2.526,2.737,2009,8,28
4.947,4.158,3.737,6.895,2.421,5.947,3.368,4.158,7.105,5.158,2.316,3,2009,8,29
2.526,1.947,1.684,2.158,1.842,1.579,1.474,2.053,1.632,1.789,1.632,1.316,2009,8,30
4.158,4.053,3.895,3.526,1.947,2.579,2.421,3.211,2.053,3.316,3.263,2.684,2009,8,31
4.789,4.737,5.263,4.789,3.158,4.368,3.842,4.263,3.579,6.421,4.421,3.316,2009,9,1
9.895,7.632,9.316,12.211,5.053,7.632,6.263,7,6.263,9.895,6.789,5.526,2009,9,2
11,10.947,13.842,13.421,9.526,9.947,8.737,10.579,10.632,13.053,6.263,8.421,2009,9,3
9.474,8,9.947,7.947,8.105,8.684,7.632,8.737,10.105,9.105,9.632,7.632,2009,9,4
7.579,9.211,10.789,14.053,6.947,10.263,9.895,9.579,10.053,11.211,9.684,8.421,2009,9,5
4.421,7,8.263,9.158,4.105,12.474,10.947,6.158,7.789,7.947,7.526,4.895,2009,9,6
7.316,7.526,7,12.947,5.263,10.368,10.263,7.211,12.368,7.474,6.316,4.842,2009,9,7
11.684,13.105,15.474,19.211,8.105,20.526,15.105,15.053,17.158,15.474,10.632,12.053,2009,9,8
6.895,9.053,8.684,13.263,4.789,11.632,9.526,8.053,11,7.842,6.579,7.789,2009,9,9
4.421,5.895,5.789,9.421,5.158,8,6.474,4.947,7.789,5.684,4.526,4.789,2009,9,10
3.632,5.158,5,6.684,5.526,4.632,3.895,5.526,3.579,4.211,3.158,3.421,2009,9,11
4.789,5.211,5.737,6.158,4.474,4.316,4,5.158,4.737,4.632,5.737,4.789,2009,9,12
4.684,5.105,5.158,5.632,3.789,6.211,5.684,4.947,7,6.895,3.684,4,2009,9,13
